SaleID,CustomerID,ProductDetailID,SaleDate,Quantity,UnitPrice,TotalAmount,Discount,PaymentMethod,ShippingAddress,SalesRepID,Status
1997,919,313,2024-02-06,43,849.92,36546.56,2920.75,Debit Card,"3528 Schmitt Run Apt. 912
Port Davefort, CA 56574",44,Pending
9944,979,298,2024-04-12,32,884.61,28307.52,2523.35,Credit Card,"9302 Jonathan Pass Apt. 139
Marisaborough, NJ 81427",49,Cancelled
4537,415,378,2024-01-06,43,946.06,40680.58,1137.28,Credit Card,"1802 Miller Street Apt. 128
Nathanhaven, NH 44956",2,Cancelled
2459,996,191,2024-04-26,46,994.81,45761.26,404.13,Credit Card,"PSC 4065, Box 8848
APO AE 83922",41,Completed
1341,786,355,2024-03-21,25,586.27,14656.75,156.91,PayPal,"724 Joseph Extensions Suite 134
Derekstad, NV 64296",45,Cancelled
5666,796,296,2024-06-16,28,798.07,22345.96,741.02,Bank Transfer,"4470 David Islands Apt. 347
Port Todd, DC 24615",17,Cancelled
7099,562,29,2024-04-07,59,179.49,10589.91,626.87,Debit Card,"78915 Eric Club
East Robertfort, NE 84698",21,Pending
8946,936,7,2024-06-08,39,676.67,26390.13,408.92,Bank Transfer,"1552 Christopher Mountain
Aguilarborough, ME 45374",29,Cancelled
8580,607,18,2024-05-21,83,25.78,2139.74,51.03,PayPal,"291 Rachel Club Suite 818
Port Austin, FL 30730",14,Cancelled
7435,689,368,2024-03-04,86,362.55,31179.3,2112.71,Bank Transfer,"6732 Jackson Estates
North Beverly, AK 92478",49,Cancelled
3514,921,462,2024-05-28,89,884.3,78702.7,5402.01,Credit Card,"405 Jerry Manor
Lake William, SC 31831",36,Completed
3000,715,415,2024-05-20,6,480.39,2882.34,105.59,Debit Card,"446 Robinson Inlet Apt. 774
North Michael, CA 68775",35,Completed
3139,335,369,2024-01-28,27,615.62,16621.74,276.65,Debit Card,"202 Kenneth Loaf Apt. 075
Warrenville, SC 13269",33,Completed
2381,213,481,2024-02-18,11,345.47,3800.17,319.93,PayPal,"7195 Jason Ville
Lake Dustinview, MD 37379",39,Pending
6216,761,331,2024-01-25,95,437.11,41525.45,3547.79,Bank Transfer,"0252 Clark Fork Suite 488
South Shannonton, WV 15900",46,Cancelled
1191,796,208,2024-06-04,20,668.33,13366.6,48.39,Credit Card,"031 Haynes Canyon
East Juanchester, ME 75751",1,Completed
2878,884,14,2024-02-08,61,201.86,12313.46,620.42,Credit Card,"180 Christian Shores Apt. 883
Brownton, NV 57873",25,Completed
610,210,33,2024-05-22,61,295.57,18029.77,916.59,Debit Card,"0726 Alicia Mission Suite 246
Robertview, MA 01369",24,Cancelled
6565,436,161,2024-01-08,20,806.07,16121.4,721.0,Bank Transfer,"62137 Kevin Creek Apt. 849
North Jamesstad, NC 54258",46,Completed
8766,776,135,2024-01-03,46,199.09,9158.14,225.23,Debit Card,"287 Rivers Rue
Houstonland, MI 74742",8,Completed
6309,954,12,2024-04-18,92,679.11,62478.12,1617.55,Debit Card,"25281 Joel Locks
South Sharon, UT 48354",31,Completed
3227,140,417,2024-05-11,96,695.59,66776.64,714.26,Debit Card,"448 Glenn Springs
New William, KY 29966",8,Completed
2510,369,493,2024-01-20,34,460.57,15659.38,1243.18,Debit Card,"USNS Scott
FPO AP 06685",6,Completed
127,915,82,2024-05-13,32,476.19,15238.08,771.64,PayPal,"64709 Eaton Extensions Apt. 710
West Tomfort, MO 20615",14,Completed
4361,924,420,2024-03-01,79,236.52,18685.08,955.03,PayPal,"1825 Pineda Overpass Apt. 563
Christon, OK 11462",39,Cancelled
4643,72,442,2024-05-10,85,571.22,48553.7,3473.39,Bank Transfer,"84786 Jessica Prairie Suite 601
North Timothy, CO 88084",43,Cancelled
6565,969,114,2024-02-24,13,115.78,1505.14,141.09,Credit Card,"587 Sheila Springs Suite 160
West Leah, RI 41121",43,Completed
6479,372,37,2024-06-12,25,428.49,10712.25,997.44,PayPal,"77932 Samuel Forges Suite 415
North Susanberg, AK 55584",47,Completed
9107,129,357,2024-01-08,94,711.98,66926.12,5130.03,Debit Card,"62784 Melendez Dale Suite 943
Kellymouth, CO 22627",36,Cancelled
4798,626,119,2024-04-29,69,556.52,38399.88,2855.61,Bank Transfer,"06993 Mark Brooks
Sotoshire, CO 06123",30,Completed
4742,913,245,2024-03-26,89,371.35,33050.15,2571.57,PayPal,"76601 Todd Manor
Dustinchester, MI 76772",18,Completed
5005,591,394,2024-01-17,63,987.21,62194.23,1982.36,Credit Card,"392 Erika Trafficway Suite 649
East Anthony, MI 45624",13,Completed
186,581,50,2024-05-03,50,30.53,1526.5,58.74,Debit Card,"9629 Coleman Street Apt. 438
West Markborough, AK 41273",44,Pending
2269,415,193,2024-03-28,54,828.64,44746.56,848.58,PayPal,"PSC 0992, Box 2069
APO AP 62400",10,Completed
5374,758,208,2024-01-07,41,77.19,3164.79,63.84,Bank Transfer,"3863 Keith Pass Suite 138
Lake William, MA 85181",8,Cancelled
1479,347,66,2024-04-30,9,860.24,7742.16,217.06,Debit Card,"0215 Wilkins Creek
North Kimhaven, AK 15679",33,Completed
3642,333,196,2024-06-08,58,586.63,34024.54,556.94,Credit Card,"8644 Stanley Ferry
Port Melanieland, ND 99701",22,Cancelled
1638,99,463,2024-02-16,27,986.52,26636.04,1248.23,PayPal,"3954 Sarah Branch Suite 178
New Christopher, OR 02434",11,Pending
3908,356,359,2024-06-03,26,381.48,9918.48,291.79,Bank Transfer,"4193 Robert Extensions
Ginaside, TN 71104",29,Pending
2926,415,249,2024-03-12,7,908.42,6358.94,386.85,Credit Card,"930 Joshua Streets Apt. 924
East Duanefort, LA 97685",16,Completed
1230,583,80,2024-04-24,21,117.37,2464.77,65.4,Bank Transfer,"813 Hill Fords Suite 042
West Haley, MA 46734",12,Cancelled
8434,198,2,2024-04-29,91,658.92,59961.72,2455.36,Debit Card,"0771 Martin Walk Apt. 238
South Taraland, OK 73427",5,Pending
9697,198,28,2024-01-12,39,615.55,24006.45,438.4,PayPal,"08630 Williams Tunnel Apt. 696
New Christianview, NV 23742",49,Completed
7617,93,477,2024-01-24,68,259.98,17678.64,334.38,Debit Card,"194 Becker Square
Lake Christinestad, WV 82160",25,Pending
4892,601,75,2024-05-26,89,424.0,37736.0,3405.61,PayPal,"03639 Rojas Springs
Jonesberg, ME 89484",36,Cancelled
2437,854,478,2024-05-16,1,886.14,886.14,2.03,Bank Transfer,"USNV Marshall
FPO AE 41306",7,Cancelled
4508,129,481,2024-06-01,97,55.63,5396.11,73.39,Credit Card,"8149 Keith Green
North Susan, CA 47770",46,Pending
4992,1000,217,2024-02-12,39,166.42,6490.38,646.2,PayPal,"003 Tanya Motorway Suite 655
West Michaelfurt, IL 54548",49,Completed
4172,732,357,2024-01-09,13,533.1,6930.3,60.09,Bank Transfer,"07900 Collins Lakes
Haleyside, KY 30074",13,Pending
8347,213,493,2024-04-11,7,477.47,3342.29,42.43,Bank Transfer,"274 Kathleen Avenue Apt. 359
West Brent, MS 16053",26,Pending
564,357,395,2024-02-12,19,113.07,2148.33,74.91,Credit Card,"775 Bentley Canyon
New Joyceborough, MD 75267",47,Completed
6524,711,277,2024-01-16,59,226.85,13384.15,1151.5,Debit Card,"36665 David Bridge
Port Debra, AL 96851",45,Pending
5664,949,47,2024-05-12,73,710.33,51854.09,1228.8,PayPal,"49247 Waters Freeway Suite 127
Johnmouth, MI 35682",49,Cancelled
7596,161,208,2024-05-30,93,283.25,26342.25,889.83,PayPal,"7449 Linda Plains
Port Jennifer, DC 35875",6,Pending
5020,579,431,2024-01-16,38,682.78,25945.64,2098.65,Bank Transfer,"0944 Brianna Fork Apt. 874
South Jasonburgh, SC 86432",28,Completed
8854,8,225,2024-01-27,92,257.45,23685.4,140.58,PayPal,"3249 Timothy Brook Suite 076
West Ronaldview, LA 47119",27,Completed
4287,400,266,2024-05-04,39,645.24,25164.36,1632.9,PayPal,"83568 Stafford Road
West Donald, OH 47277",38,Cancelled
7566,861,415,2024-02-16,6,384.74,2308.44,219.13,Credit Card,"034 David Mission
Lake Melissastad, RI 47641",1,Cancelled
4169,635,477,2024-01-09,19,454.63,8637.97,712.04,Bank Transfer,"Unit 8135 Box 6587
DPO AA 19113",3,Pending
4514,974,441,2024-03-30,52,989.34,51445.68,1409.74,PayPal,"6057 Lam Fields Suite 388
New Catherinetown, NM 19389",16,Completed
9721,872,209,2024-03-12,42,378.73,15906.66,376.44,PayPal,"42999 Hernandez Mountain
Stokesshire, WY 87152",8,Completed
2036,143,410,2024-03-01,39,895.74,34933.86,1159.75,PayPal,"3608 Kathleen Lock
Lake Kenneth, CA 59794",10,Pending
5462,776,2,2024-04-24,67,229.42,15371.14,758.49,PayPal,"18550 Luis Road Suite 389
Rosemouth, AK 58846",16,Cancelled
9846,817,52,2024-02-11,29,507.53,14718.37,1010.03,Debit Card,"119 Jill Squares Suite 500
Erinton, NM 64585",5,Cancelled
3443,905,191,2024-02-25,74,657.83,48679.42,4534.54,Bank Transfer,"004 Joshua Tunnel
Nicholasville, CO 79410",12,Cancelled
8581,537,266,2024-04-21,45,882.06,39692.7,1731.41,Credit Card,"Unit 3626 Box 3444
DPO AP 21266",6,Pending
1285,44,278,2024-04-10,9,838.69,7548.21,107.25,Credit Card,"Unit 4173 Box 5256
DPO AP 64009",18,Pending
8669,157,403,2024-05-17,66,418.87,27645.42,1444.87,Debit Card,"578 Jane Locks Apt. 339
Jameshaven, WV 05709",20,Completed
3680,795,325,2024-01-21,88,387.22,34075.36,2507.45,Credit Card,"993 Brown Roads
Port Jessicaside, UT 45455",3,Cancelled
2108,508,125,2024-03-09,92,269.77,24818.84,1673.82,Credit Card,"USNV Hughes
FPO AP 41082",5,Pending
1371,471,160,2024-04-08,47,251.93,11840.71,237.78,Bank Transfer,"USCGC Colon
FPO AE 16194",50,Cancelled
6887,937,138,2024-02-01,22,572.74,12600.28,1224.41,Debit Card,"95920 Nicholas Orchard Suite 268
Kimberg, OH 68123",43,Pending
2295,474,412,2024-05-23,76,850.07,64605.32,5719.68,PayPal,"8022 Jones Divide
Rubiofurt, WY 09685",23,Pending
2649,928,246,2024-04-19,91,56.68,5157.88,239.41,Credit Card,"8586 Andrew Ports Apt. 822
West Dawnton, MN 97029",27,Cancelled
6549,354,274,2024-03-04,64,639.31,40915.84,2398.03,Bank Transfer,"27049 Susan Mews
South Penny, MO 32530",49,Cancelled
4015,990,107,2024-05-12,45,167.5,7537.5,170.92,Bank Transfer,"4395 Mark Square Suite 039
Arthurtown, AK 61100",42,Pending
4646,942,269,2024-04-29,9,246.31,2216.79,61.12,Credit Card,"PSC 4625, Box 8290
APO AE 00690",44,Cancelled
2629,599,491,2024-02-15,37,52.25,1933.25,84.43,Bank Transfer,"442 Mays Shoal Apt. 875
Staceyhaven, AK 48197",30,Cancelled
1264,54,498,2024-02-18,47,81.85,3846.95,256.85,Bank Transfer,"USNS Gonzalez
FPO AE 53430",25,Completed
4760,962,477,2024-02-27,91,349.77,31829.07,1461.88,Debit Card,"2306 Hall Village
Jonesmouth, WV 70133",29,Pending
5449,939,397,2024-06-12,70,551.64,38614.8,1011.59,Bank Transfer,"Unit 4245 Box 5154
DPO AA 67198",9,Pending
2893,390,343,2024-02-21,10,375.01,3750.1,142.73,Debit Card,"404 Robertson Plaza
Port Douglas, KS 21418",44,Completed
6387,610,119,2024-01-05,45,410.73,18482.85,1096.2,PayPal,"8425 Thomas Forge
Hayestown, VT 03766",29,Cancelled
340,347,171,2024-04-09,70,863.22,60425.4,2972.8,Credit Card,"89375 Joanna Road Suite 570
Cruzstad, MA 50644",36,Pending
8810,655,433,2024-05-01,82,875.56,71795.92,899.4,Credit Card,"300 Pamela Road Apt. 242
South Heather, ID 95425",28,Cancelled
9705,881,99,2024-01-18,78,914.77,71352.06,1944.43,Debit Card,"60598 Shannon Course
Patriciabury, NJ 13615",38,Pending
7555,585,303,2024-01-27,94,505.92,47556.48,3348.04,Debit Card,"8850 Morgan Track Suite 317
Lake Robertmouth, MS 23453",34,Cancelled
2903,741,244,2024-06-12,7,813.21,5692.47,34.15,Credit Card,"26306 Turner Lock Suite 876
Port Jennifer, CO 57141",12,Pending
3035,825,160,2024-05-02,84,55.94,4698.96,287.74,Credit Card,"876 Dale Vista Apt. 470
Lake Rachel, FL 52078",34,Completed
580,526,408,2024-02-03,2,89.79,179.58,8.59,Credit Card,"31888 Fox Fords Apt. 486
Cummingsland, ME 90696",12,Pending
1193,998,189,2024-03-15,5,472.16,2360.8,34.43,Bank Transfer,"9062 Rebecca Ports Apt. 575
Jeffreystad, VT 00662",1,Pending
53,556,329,2024-05-19,24,354.71,8513.04,296.75,Debit Card,"96590 Jasmin Tunnel
East Chelsea, WI 52039",9,Pending
5216,862,368,2024-01-13,91,267.49,24341.59,871.75,Debit Card,"8998 Mason Meadow
North Natalie, FL 32459",6,Completed
3390,719,445,2024-01-29,40,468.73,18749.2,123.31,Debit Card,"477 Marie Park
Boltonmouth, CO 19383",43,Cancelled
6076,362,469,2024-02-08,76,973.46,73982.96,4802.53,Credit Card,"PSC 6981, Box 2944
APO AP 75495",22,Completed
4995,755,356,2024-04-11,34,438.83,14920.22,856.09,Debit Card,"8810 Jones Hollow
Port Jill, SD 65907",19,Pending
479,133,125,2024-03-04,19,709.11,13473.09,1054.41,Credit Card,"545 Monica Ferry Apt. 256
Vargasborough, PA 98906",34,Completed
2548,931,260,2024-01-06,90,354.01,31860.9,346.85,PayPal,"284 Benjamin Lake Suite 780
Ellistown, NC 50894",35,Cancelled
6948,129,10,2024-01-21,83,972.77,80739.91,2546.26,PayPal,"77471 Martin Gardens
Youngland, DC 57859",33,Pending
3964,955,2,2024-03-02,89,601.38,53522.82,3513.49,Credit Card,"9313 Hannah Station
South Danielburgh, MS 32705",48,Cancelled
7792,169,138,2024-06-16,74,96.05,7107.7,152.72,PayPal,"7300 Daniel Valleys
Port Andrea, AL 47661",45,Completed
3284,882,120,2024-03-12,90,786.57,70791.3,6411.19,Credit Card,"9696 Stephanie Manors Apt. 085
South Ericton, ND 62623",3,Completed
2142,865,257,2024-04-21,3,351.29,1053.87,88.14,Bank Transfer,"7940 Daniels Knoll
Tammyview, HI 43848",36,Cancelled
9025,757,408,2024-04-13,86,344.54,29630.44,129.52,Credit Card,"98397 Erica Valley
East Jeremy, IL 49070",11,Cancelled
2648,568,70,2024-02-19,57,248.79,14181.03,368.66,Debit Card,"21348 Conner Fields
Sheltonfurt, MN 67787",27,Pending
6420,584,66,2024-04-28,57,933.12,53187.84,3075.37,PayPal,"3443 Lisa Fall Suite 292
East Brittany, WY 67567",15,Completed
7126,808,289,2024-01-31,96,664.93,63833.28,3195.48,Bank Transfer,"91470 Kathleen Neck
Port Lisabury, KY 42693",9,Pending
6666,270,158,2024-03-08,42,295.71,12419.82,472.03,Debit Card,"457 Jones View Suite 583
North Heathertown, NC 23988",47,Cancelled
5316,765,66,2024-04-23,65,918.69,59714.85,2168.08,Debit Card,"2786 Summers Knoll Suite 179
West Paigeport, MT 13929",13,Pending
3577,291,144,2024-06-03,79,921.59,72805.61,725.61,Bank Transfer,"284 Lucas Trail Suite 513
New Matthew, TX 73061",50,Cancelled
2746,163,368,2024-01-05,66,593.34,39160.44,262.53,Debit Card,"9625 Hill Groves
West Zoefort, DE 38129",33,Completed
3739,595,417,2024-02-20,96,121.85,11697.6,790.39,Debit Card,"464 Laura Rest Suite 897
Robinsonchester, MO 67719",14,Cancelled
8172,446,303,2024-04-20,19,526.7,10007.3,837.82,Debit Card,"0060 Sheri Meadows
Kellyside, WA 61313",30,Completed
1262,421,97,2024-02-16,23,910.65,20944.95,1264.02,Credit Card,"9220 Kevin Highway
Oconnorview, NY 60820",18,Completed
5329,751,463,2024-05-14,94,129.36,12159.84,160.68,Bank Transfer,"53253 Gerald Brook Apt. 209
Port Belinda, MN 53165",28,Pending
8522,280,229,2024-02-02,93,281.99,26225.07,78.2,Bank Transfer,"1214 Sandoval Circle
Lawrencetown, GA 20862",36,Pending
2938,90,419,2024-06-04,51,738.08,37642.08,2018.31,PayPal,"976 Cynthia Pines
Laurenmouth, MO 80662",30,Cancelled
